# Hp10_100cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_shield
3     H                      0.0
7     Be                     9.0
10    Be                     0.0
10    C                    291.0
11    C                    174.0
14    C                      0.0
13    N                    174.0
16    N                    209.0
14    O                    447.0
15    O                    174.0
19    O                    140.0
17    F                    174.0
18    F                    169.0
19    Ne                   174.0
24    Ne                    92.0
22    Na                   340.0
24    Na                   496.0
27    Mg                   139.0
28    Mg                   215.0
26    Al                   380.0
28    Al                   230.0
29    Al                   193.0
31    Si                     0.0
32    Si                     0.0
30    P                    174.0
32    P                      0.0
33    P                      0.0
35    S                      0.0
37    S                    299.0
38    S                    212.0
34    Cl                   174.0
34    Cl_isomer            281.0
36    Cl                     0.0
38    Cl                   181.0
39    Cl                   209.0
40    Cl                   463.0
37    Ar                     0.0
39    Ar                     0.0
41    Ar                   184.0
42    Ar                     0.0
43    Ar                   211.0
44    Ar                   262.0
38    K                    436.0
40    K                     22.0
42    K                     38.0
43    K                    162.0
44    K                    305.0
45    K                    245.0
46    K                    336.0
41    Ca                     0.0
45    Ca                     0.0
47    Ca                   152.0
49    Ca                   318.0
42    Sc_isomer            635.0
43    Sc                   168.0
44    Sc                   336.0
44    Sc_isomer             47.0
46    Sc                   304.0
47    Sc                    20.0
48    Sc                   495.0
49    Sc                     0.0
50    Sc                   463.0
44    Ti                    31.0
45    Ti                   148.0
51    Ti                    63.0
52    Ti                    28.0
47    V                    169.0
48    V                    438.0
49    V                      0.0
50    V                    197.0
52    V                    201.0
53    V                    156.0
48    Cr                    78.0
49    Cr                   182.0
51    Cr                     6.0
55    Cr                     0.0
56    Cr                    28.0
50    Mn_isomer            705.0
51    Mn                   170.0
52    Mn                   520.0
52    Mn_isomer            367.0
53    Mn                     0.0
54    Mn                   132.0
56    Mn                   239.0
57    Mn                    18.0
58    Mn_isomer            349.0
52    Fe                   127.0
53    Fe                   200.0
53    Fe_isomer            448.0
55    Fe                     0.0
59    Fe                   173.0
60    Fe                     0.0
61    Fe                   202.0
62    Fe                    86.0
54    Co_isomer            603.0
55    Co                   317.0
56    Co                   496.0
57    Co                    24.0
58    Co                   157.0
58    Co_isomer              0.0
60    Co                   360.0
60    Co_isomer              1.0
61    Co                    20.0
62    Co                   220.0
62    Co_isomer            378.0
56    Ni                   276.0
57    Ni                   282.0
59    Ni                     0.0
63    Ni                     0.0
65    Ni                    79.0
66    Ni                     0.0
57    Cu                   191.0
59    Cu                   238.0
60    Cu                   557.0
61    Cu                   139.0
62    Cu                   172.0
64    Cu                    31.0
66    Cu                    15.0
67    Cu                    21.0
69    Cu                    81.0
60    Zn                   259.0
61    Zn                   243.0
62    Zn                    77.0
63    Zn                   184.0
65    Zn                    86.0
69    Zn                     0.0
69    Zn_isomer             72.0
71    Zn                    51.0
71    Zn_isomer            260.0
72    Zn                    29.0
64    Ga                   465.0
65    Ga                   198.0
66    Ga                   314.0
67    Ga                    28.0
68    Ga                   161.0
70    Ga                     1.0
72    Ga                   375.0
73    Ga                    61.0
74    Ga                   420.0
66    Ge                   118.0
67    Ge                   235.0
68    Ge                     0.0
69    Ge                   147.0
71    Ge                     0.0
75    Ge                     6.0
77    Ge                   175.0
78    Ge                    49.0
68    As                   555.0
69    As                   191.0
70    As                   638.0
71    As                    97.0
72    As                   288.0
73    As                     3.0
74    As                   126.0
76    As                    66.0
77    As                     1.0
78    As                   193.0
79    As                     6.0
70    Se                   130.0
71    Se                   262.0
72    Se                    14.0
73    Se                   191.0
73    Se_isomer             45.0
75    Se                    71.0
77    Se_isomer             17.0
79    Se                     0.0
79    Se_isomer              5.0
81    Se                     1.0
81    Se_isomer              6.0
83    Se                   392.0
83    Se_isomer            143.0
84    Se                    73.0
72    Br                   458.0
73    Br                   243.0
74    Br                   570.0
74    Br_isomer            578.0
75    Br                   206.0
76    Br                   395.0
76    Br_isomer             20.0
77    Br                    58.0
77    Br_isomer              8.0
78    Br                   176.0
80    Br                    13.0
80    Br_isomer             17.0
82    Br                   412.0
82    Br_isomer              6.0
83    Br                     1.0
84    Br                   217.0
84    Br_isomer            414.0
85    Br                    10.0
74    Kr                   185.0
75    Kr                   218.0
76    Kr                    83.0
77    Kr                   180.0
79    Kr                    48.0
81    Kr                     7.0
81    Kr_isomer             26.0
83    Kr_isomer              2.0
85    Kr                     0.0
85    Kr_isomer             29.0
87    Kr                   108.0
88    Kr                   250.0
89    Kr                   256.0
77    Rb                   260.0
78    Rb                   514.0
78    Rb_isomer            486.0
79    Rb                   248.0
80    Rb                   202.0
81    Rb                    92.0
81    Rb_isomer             12.0
82    Rb                   188.0
82    Rb_isomer            463.0
83    Rb                    91.0
84    Rb                   151.0
84    Rb_isomer             70.0
86    Rb                    14.0
86    Rb_isomer             92.0
87    Rb                     0.0
88    Rb                    83.0
89    Rb                   307.0
90    Rb                   201.0
90    Rb_isomer            402.0
79    Sr                   210.0
80    Sr                    82.0
81    Sr                   236.0
82    Sr                    11.0
83    Sr                   146.0
85    Sr                    95.0
85    Sr_isomer             40.0
87    Sr_isomer             58.0
89    Sr                     0.0
90    Sr                     0.0
91    Sr                   109.0
92    Sr                   190.0
93    Sr                   338.0
94    Sr                   200.0
81    Y                    209.0
83    Y                    232.0
83    Y_isomer             148.0
84    Y_isomer             623.0
85    Y                    187.0
85    Y_isomer             208.0
86    Y                    537.0
86    Y_isomer              40.0
87    Y                     88.0
87    Y_isomer              56.0
88    Y                    380.0
89    Y_isomer             140.0
90    Y                      0.0
90    Y_isomer             112.0
91    Y                      0.0
91    Y_isomer              89.0
92    Y                     38.0
93    Y                     14.0
94    Y                    115.0
95    Y                    133.0
85    Zr                   246.0
86    Zr                    80.0
87    Zr                   158.0
88    Zr                    81.0
89    Zr                   193.0
89    Zr_isomer            104.0
93    Zr                     0.0
95    Zr                   118.0
97    Zr                   140.0
87    Nb                   220.0
88    Nb                   676.0
88    Nb_isomer            638.0
89    Nb                   208.0
89    Nb_isomer            225.0
90    Nb                   581.0
91    Nb                    17.0
91    Nb_isomer             18.0
92    Nb                   253.0
92    Nb_isomer            164.0
93    Nb_isomer              3.0
94    Nb                   248.0
94    Nb_isomer             12.0
95    Nb                   123.0
95    Nb_isomer             23.0
96    Nb                   388.0
97    Nb                   108.0
98    Nb_isomer            427.0
99    Nb                    43.0
99    Nb_isomer            100.0
89    Mo                   202.0
90    Mo                   161.0
91    Mo                   167.0
91    Mo_isomer            216.0
93    Mo                    17.0
93    Mo_isomer            348.0
99    Mo                    25.0
101   Mo                   218.0
102   Mo                     3.0
91    Tc                   357.0
91    Tc_isomer            238.0
92    Tc                   594.0
93    Tc                   238.0
93    Tc_isomer            132.0
94    Tc                   438.0
94    Tc_isomer            308.0
95    Tc                   144.0
95    Tc_isomer            130.0
96    Tc                   414.0
96    Tc_isomer             16.0
97    Tc                    18.0
97    Tc_isomer             14.0
98    Tc                   229.0
99    Tc                     0.0
99    Tc_isomer             25.0
101   Tc                    59.0
102   Tc                    13.0
102   Tc_isomer            356.0
104   Tc                   313.0
105   Tc                   130.0
92    Ru                   371.0
94    Ru                   104.0
95    Ru                   210.0
97    Ru                    61.0
103   Ru                    85.0
105   Ru                   126.0
106   Ru                     0.0
107   Ru                    54.0
108   Ru                    13.0
94    Rh                   562.0
95    Rh                   385.0
95    Rh_isomer            128.0
96    Rh                   620.0
96    Rh_isomer            201.0
97    Rh                   241.0
97    Rh_isomer            315.0
98    Rh                   296.0
99    Rh                   121.0
99    Rh_isomer            124.0
100   Rh                   400.0
100   Rh_isomer             35.0
101   Rh                    72.0
101   Rh_isomer             69.0
102   Rh                    97.0
102   Rh_isomer            365.0
103   Rh_isomer              2.0
104   Rh                     2.0
104   Rh_isomer             29.0
105   Rh                    14.0
106   Rh                    34.0
106   Rh_isomer            445.0
107   Rh                    55.0
108   Rh                    54.0
109   Rh                    55.0
96    Pd                   247.0
97    Pd                   362.0
98    Pd                    93.0
99    Pd                   214.0
100   Pd                    59.0
101   Pd                    92.0
103   Pd                    21.0
107   Pd                     0.0
109   Pd                    11.0
109   Pd_isomer             27.0
111   Pd                     8.0
112   Pd                     8.0
114   Pd                     5.0
99    Ag                   362.0
100   Ag_isomer            436.0
101   Ag                   261.0
102   Ag                   517.0
102   Ag_isomer            272.0
103   Ag                   152.0
104   Ag                   437.0
104   Ag_isomer            281.0
105   Ag                   109.0
105   Ag_isomer              0.0
106   Ag                   127.0
106   Ag_isomer            458.0
108   Ag                     4.0
108   Ag_isomer            285.0
109   Ag_isomer             11.0
110   Ag                     5.0
110   Ag_isomer            427.0
111   Ag                     5.0
111   Ag_isomer              6.0
112   Ag                   101.0
113   Ag                    12.0
113   Ag_isomer             38.0
114   Ag                    39.0
115   Ag                    70.0
116   Ag                   289.0
117   Ag                   173.0
101   Cd                   382.0
102   Cd                   155.0
103   Cd                   309.0
104   Cd                    68.0
105   Cd                   202.0
107   Cd                    33.0
109   Cd                    30.0
111   Cd_isomer             60.0
113   Cd                     0.0
113   Cd_isomer              0.0
115   Cd                    34.0
115   Cd_isomer              5.0
117   Cd                   162.0
117   Cd_isomer            281.0
118   Cd                     0.0
119   Cd                   228.0
119   Cd_isomer            320.0
103   In                   414.0
105   In                   309.0
106   In                   572.0
106   In_isomer            414.0
107   In                   240.0
108   In                   614.0
108   In_isomer            375.0
109   In                   121.0
109   In_isomer            100.0
110   In                   505.0
110   In_isomer            256.0
111   In                    93.0
111   In_isomer             82.0
112   In                    51.0
112   In_isomer             20.0
113   In_isomer             51.0
114   In                     0.0
114   In_isomer             22.0
115   In                     0.0
115   In_isomer             37.0
116   In_isomer            354.0
117   In                   120.0
117   In_isomer             21.0
118   In                    11.0
118   In_isomer            412.0
119   In                   128.0
119   In_isomer             12.0
121   In                   144.0
121   In_isomer             19.0
106   Sn                   216.0
108   Sn                   137.0
109   Sn                   326.0
110   Sn                    69.0
111   Sn                    90.0
113   Sn                    21.0
113   Sn_isomer             14.0
117   Sn_isomer             43.0
119   Sn_isomer             16.0
121   Sn                     0.0
121   Sn_isomer              4.0
123   Sn                     1.0
123   Sn_isomer             28.0
125   Sn                    50.0
125   Sn_isomer             60.0
126   Sn                    20.0
127   Sn                   282.0
127   Sn_isomer             94.0
128   Sn                   136.0
129   Sn                   157.0
130   Sn                   168.0
130   Sn_isomer            145.0
111   Sb                   254.0
113   Sb                   220.0
114   Sb                   410.0
115   Sb                   162.0
116   Sb                   342.0
116   Sb_isomer            495.0
117   Sb                    52.0
118   Sb                   140.0
118   Sb_isomer            425.0
119   Sb                    24.0
120   Sb                    86.0
120   Sb_isomer            396.0
122   Sb                    74.0
122   Sb_isomer             32.0
124   Sb                   269.0
124   Sb_isomer             73.0
124   Sbn                    0.0
125   Sb                    85.0
126   Sb                   449.0
126   Sb_isomer            255.0
127   Sb                   115.0
128   Sb                   501.0
128   Sb_isomer            310.0
129   Sb                   222.0
130   Sb                   520.0
130   Sb_isomer            424.0
131   Sb                   302.0
133   Sb                   379.0
113   Te                   341.0
114   Te                   212.0
115   Te                   351.0
115   Te_isomer            396.0
116   Te                    45.0
117   Te                   241.0
118   Te                    19.0
119   Te                   138.0
119   Te_isomer            241.0
121   Te                   113.0
121   Te_isomer             49.0
123   Te                     0.0
123   Te_isomer             36.0
125   Te_isomer             31.0
127   Te                     1.0
127   Te_isomer              9.0
129   Te                    14.0
129   Te_isomer             12.0
131   Te                    72.0
131   Te_isomer            231.0
132   Te                    57.0
133   Te                   181.0
133   Te_isomer            289.0
134   Te                   152.0
118   I                    328.0
118   I_isomer             607.0
119   I                    164.0
120   I                    384.0
120   I_isomer             553.0
121   I                     84.0
122   I                    165.0
123   I                     48.0
124   I                    183.0
125   I                     37.0
126   I                     80.0
128   I                     13.0
129   I                     18.0
130   I                    349.0
130   I_isomer              21.0
131   I                     67.0
132   I                    357.0
132   I_isomer              63.0
133   I                    101.0
134   I                    400.0
134   I_isomer              66.0
135   I                    225.0
120   Xe                    94.0
121   Xe                   226.0
122   Xe                    27.0
123   Xe                   117.0
125   Xe                    68.0
127   Xe                    67.0
127   Xe_isomer             40.0
129   Xe_isomer             33.0
131   Xe_isomer             14.0
133   Xe                    18.0
133   Xe_isomer             17.0
135   Xe                    45.0
135   Xe_isomer             75.0
137   Xe                    31.0
138   Xe                   155.0
121   Cs                   201.0
121   Cs_isomer            205.0
123   Cs                   191.0
124   Cs                   195.0
125   Cs                   134.0
126   Cs                   197.0
127   Cs                    89.0
128   Cs                   155.0
129   Cs                    68.0
130   Cs                    93.0
130   Cs_isomer             29.0
131   Cs                    17.0
132   Cs                   130.0
134   Cs                   251.0
134   Cs_isomer             10.0
135   Cs                     0.0
135   Cs_isomer            255.0
136   Cs                   333.0
137   Cs                     0.0
138   Cs                   328.0
138   Cs_isomer             70.0
139   Cs                    40.0
140   Cs                   233.0
124   Ba                   107.0
126   Ba                   107.0
127   Ba                   129.0
128   Ba                    25.0
129   Ba                    66.0
129   Ba_isomer            262.0
131   Ba                    99.0
131   Ba_isomer             22.0
133   Ba                    92.0
133   Ba_isomer             21.0
135   Ba_isomer             19.0
137   Ba_isomer             98.0
139   Ba                     9.0
140   Ba                    34.0
141   Ba                   148.0
142   Ba                   166.0
128   La                   457.0
129   La                   164.0
130   La                   359.0
131   La                   126.0
132   La                   308.0
132   La_isomer            120.0
133   La                    39.0
134   La                   126.0
135   La                    19.0
136   La                    77.0
137   La                    16.0
138   La                   184.0
140   La                   329.0
141   La                     4.0
142   La                   300.0
143   La                    36.0
130   Ce                    98.0
131   Ce                   269.0
132   Ce                    61.0
133   Ce                   113.0
133   Ce_isomer            283.0
134   Ce                    16.0
135   Ce                   150.0
137   Ce                    18.0
137   Ce_isomer             18.0
139   Ce                    41.0
141   Ce                    16.0
143   Ce                    57.0
144   Ce                     5.0
145   Ce                   144.0
134   Pr                   513.0
134   Pr_isomer            361.0
135   Pr                   157.0
136   Pr                   338.0
137   Pr                    70.0
