# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
3     H                      0.0
7     Be                   300.0
10    Be                     0.0
10    C                   8500.0
11    C                   6000.0
14    C                      0.0
13    N                   6000.0
16    N                    700.0
14    O                   7400.0
15    O                   6000.0
19    O                   4200.0
17    F                   6000.0
18    F                   5800.0
19    Ne                  6000.0
24    Ne                  3200.0
22    Na                  7400.0
24    Na                  3100.0
27    Mg                  2300.0
28    Mg                  4900.0
26    Al                  6600.0
28    Al                  1600.0
29    Al                  2000.0
31    Si                     0.0
32    Si                     0.0
30    P                   6000.0
32    P                      0.0
33    P                      0.0
35    S                      0.0
37    S                   1100.0
38    S                   1300.0
34    Cl                  6000.0
34    Cl_isomer           5400.0
36    Cl                     0.0
38    Cl                  1100.0
39    Cl                  3500.0
40    Cl                  3200.0
37    Ar                     0.0
39    Ar                     0.0
41    Ar                  1900.0
42    Ar                     0.0
43    Ar                  2500.0
44    Ar                  4100.0
38    K                   7500.0
40    K                    200.0
42    K                    300.0
43    K                   6100.0
44    K                   2900.0
45    K                   4000.0
46    K                   2600.0
41    Ca                     0.0
45    Ca                     0.0
47    Ca                  1800.0
49    Ca                  1200.0
42    Sc_isomer          12900.0
43    Sc                  6000.0
44    Sc                  7800.0
44    Sc_isomer           3200.0
46    Sc                  4500.0
47    Sc                  1900.0
48    Sc                  6700.0
49    Sc                     0.0
50    Sc                  6600.0
44    Ti                  2900.0
45    Ti                  5100.0
51    Ti                  3400.0
52    Ti                  3400.0
47    V                   5800.0
48    V                   7400.0
49    V                      0.0
50    V                   1800.0
52    V                   1800.0
53    V                   2300.0
48    Cr                  5500.0
49    Cr                  7500.0
51    Cr                   300.0
55    Cr                     0.0
56    Cr                  3000.0
50    Mn_isomer          13200.0
51    Mn                  5800.0
52    Mn                  8200.0
52    Mn_isomer           7600.0
53    Mn                     0.0
54    Mn                  2300.0
56    Mn                  2900.0
57    Mn                  1600.0
58    Mn_isomer           5000.0
52    Fe                  6300.0
53    Fe                  7200.0
53    Fe_isomer           6300.0
55    Fe                     0.0
59    Fe                  2200.0
60    Fe                     0.0
61    Fe                  3300.0
62    Fe                  3000.0
54    Co_isomer          13000.0
55    Co                  7600.0
56    Co                  6200.0
57    Co                  2900.0
58    Co                  3200.0
58    Co_isomer              0.0
60    Co                  4000.0
60    Co_isomer              0.0
61    Co                  1300.0
62    Co                  2300.0
62    Co_isomer           4200.0
56    Ni                  8500.0
57    Ni                  4800.0
59    Ni                     0.0
63    Ni                     0.0
65    Ni                   900.0
66    Ni                     0.0
57    Cu                  6200.0
59    Cu                  7100.0
60    Cu                  9300.0
61    Cu                  4700.0
62    Cu                  5900.0
64    Cu                  1100.0
66    Cu                   200.0
67    Cu                  2000.0
69    Cu                  1400.0
60    Zn                  8800.0
61    Zn                  6900.0
62    Zn                  2900.0
63    Zn                  6000.0
65    Zn                  1200.0
69    Zn                     0.0
69    Zn_isomer           3000.0
71    Zn                  1500.0
71    Zn_isomer           9000.0
72    Zn                  4100.0
64    Ga                  8600.0
65    Ga                  7400.0
66    Ga                  5000.0
67    Ga                  2200.0
68    Ga                  5400.0
70    Ga                     0.0
72    Ga                  4700.0
73    Ga                  4700.0
74    Ga                  5600.0
66    Ge                  6500.0
67    Ge                  8800.0
68    Ge                   900.0
69    Ge                  3900.0
71    Ge                  1000.0
75    Ge                   500.0
77    Ge                  7500.0
78    Ge                  3600.0
68    As                 11100.0
69    As                  6600.0
70    As                 12300.0
71    As                  5500.0
72    As                  7600.0
73    As                  2100.0
74    As                  4300.0
76    As                  1700.0
77    As                   100.0
78    As                  3400.0
79    As                   200.0
70    Se                 19700.0
71    Se                  8800.0
72    Se                 13600.0
73    Se                 13200.0
73    Se_isomer           3600.0
75    Se                 15100.0
77    Se_isomer           5100.0
79    Se                     0.0
79    Se_isomer           6500.0
81    Se                   100.0
81    Se_isomer           6600.0
83    Se                  9100.0
83    Se_isomer           2400.0
84    Se                  3300.0
72    Br                 11000.0
73    Br                  9700.0
74    Br                 10900.0
74    Br_isomer          12500.0
75    Br                 10900.0
76    Br                 11400.0
76    Br_isomer          11300.0
77    Br                 10700.0
77    Br_isomer           5900.0
78    Br                  6600.0
80    Br                   900.0
80    Br_isomer          11500.0
82    Br                  8200.0
82    Br_isomer           5900.0
83    Br                     0.0
84    Br                  2100.0
84    Br_isomer           7300.0
85    Br                   200.0
74    Kr                 11400.0
75    Kr                 10800.0
76    Kr                 13500.0
77    Kr                 10000.0
79    Kr                  8800.0
81    Kr                  7200.0
81    Kr_isomer           4300.0
83    Kr_isomer           1900.0
85    Kr                     0.0
85    Kr_isomer           3200.0
87    Kr                  2200.0
88    Kr                  3700.0
89    Kr                  4200.0
77    Rb                 10500.0
78    Rb                 10300.0
78    Rb_isomer          11700.0
79    Rb                 12900.0
80    Rb                  6800.0
81    Rb                  7900.0
81    Rb_isomer           5000.0
82    Rb                  6400.0
82    Rb_isomer          14900.0
83    Rb                  9500.0
84    Rb                  8000.0
84    Rb_isomer           6400.0
86    Rb                   200.0
86    Rb_isomer           3000.0
87    Rb                     0.0
88    Rb                   700.0
89    Rb                  3500.0
90    Rb                  1600.0
90    Rb_isomer           4200.0
79    Sr                 11200.0
80    Sr                  8400.0
81    Sr                 10500.0
82    Sr                  6200.0
83    Sr                 12000.0
85    Sr                  9200.0
85    Sr_isomer           4300.0
87    Sr_isomer           3700.0
