Target: 27Al
Thickness: 0.8106 mg/cm2

Beam: 84Kr
Energy: 303 MeV
Rate: 1.00e+09 pps
Running Time: 3600.0 sec

#A	Isotope	xsec(mb)	t1/2_value	t1/2_unit	Recoil_E(MeV)	Prodx_Rate(pps)	Prodx_A(Bq)	Stopping_Ratio
108	In	13.6	58.0	m	223.1	245.8	125.78	1.0
108	In_m	13.6	39.6	m	223.1	245.8	159.78	1.0
108	Cd	4.13	14000000000.0	y	223.1	74.64	0.0	1.0
107	In	250.0	32.4	m	221.03	4518.34	3266.26	1.0
107	In_m	250.0	50.4	s	221.03	4518.34	4518.34	1.0
107	Cd	127.0	6.5	h	221.03	2295.32	232.12	1.0
107	Ag	6.49	14000000000.0	y	221.03	117.3	0.0	1.0
107	Ag_m	6.49	44.3	s	221.03	117.3	117.3	1.0
106	In	34.2	6.2	m	218.97	618.11	617.35	1.0
106	In_m	34.2	5.2	m	218.97	618.11	617.9	1.0
106	Cd	30.1	14000000000.0	y	218.97	544.01	0.0	1.0
106	Ag	1.18	23.96	m	218.97	21.33	17.57	1.0
106	Ag_m	1.18	8.28	d	218.97	21.33	0.07	1.0
105	Ag	8.85	41.29	d	216.9	159.95	0.11	1.0
105	Ag_m	8.85	7.23	m	216.9	159.95	159.44	1.0
105	Pd	2.36	14000000000.0	y	216.9	42.65	0.0	1.0
104	Ag	78.5	69.2	m	214.84	1418.76	640.8	1.0
104	Ag_m	78.5	33.5	m	214.84	1418.76	1008.68	1.0
104	Pd	21.2	14000000000.0	y	214.84	383.16	0.0	1.0
103	Ag	6.49	65.7	m	212.77	117.3	55.0	1.0
103	Ag_m	6.49	5.7	s	212.77	117.3	117.3	1.0
103	Pd	2.36	16.99	d	212.77	42.65	0.07	1.0
102	Rh	1.18	207.3	d	210.71	21.33	0.0	1.0
102	Rh_m	1.18	3.74	y	210.71	21.33	0.0	1.0
101	Rh	2.36	3.3	y	208.64	42.65	0.0	1.0
101	Rh_m	2.36	4.34	d	208.64	42.65	0.28	1.0
