# PRO 814.501.2014
#     unit:            uSv/h/GBq
#A    isotope              e_ing
3     H                  4.2e-11
3     H_HTO              1.8e-11
7     Be                 2.8e-11
10    Be                 1.1e-09
11    C                  2.4e-11
11    C_monoxide         1.2e-12
11    C_dioxide          2.2e-12
14    C                  5.8e-10
14    C_monoxide         8.0e-13
14    C_dioxide          6.5e-12
18    F                  4.9e-11
22    Na                 3.2e-09
24    Na                 4.3e-10
28    Mg                 2.2e-09
28    Al                 2.2e-09
26    Al                 3.5e-09
31    Si                 1.6e-10
32    Si                 5.6e-10
32    P                  2.4e-09
33    P                  2.4e-10
35    S                  1.9e-10
35    S                  7.7e-10
36    Cl                 9.3e-10
38    Cl                 1.2e-10
39    Cl                 8.5e-11
40    K                  6.2e-09
42    K                  4.3e-10
43    K                  2.5e-10
44    K                  8.4e-11
45    K                  5.4e-11
41    Ca                 2.9e-10
45    Ca                 7.6e-10
47    Ca                 1.6e-09
43    Sc                 1.9e-10
44    Sc                 3.5e-10
44    Sc_isomer          2.4e-09
46    Sc                 1.5e-09
47    Sc                 5.4e-10
48    Sc                 1.7e-09
49    Sc                 8.2e-11
44    Ti                 5.8e-09
45    Ti                 1.5e-10
47    V                  6.3e-11
48    V                  2.0e-09
49    V                  1.8e-11
48    Cr                 2.0e-10
49    Cr                 6.1e-11
51    Cr                 3.8e-11
51    Mn                 9.3e-11
52    Mn                 1.8e-09
52    Mn_isomer          6.9e-11
53    Mn                 3.0e-11
54    Mn                 7.1e-10
56    Mn                 2.5e-10
52    Fe                 1.4e-09
55    Fe                 3.3e-10
59    Fe                 1.8e-09
60    Fe                 1.1e-07
55    Co                 1.1e-09
56    Co                 2.5e-09
57    Co                 2.1e-10
58    Co                 7.4e-10
58    Co_isomer          2.4e-11
60    Co                 3.4e-09
60    Co_isomer          1.7e-12
61    Co                 7.4e-11
62    Co_isomer          4.7e-11
56    Ni                 8.6e-10
57    Ni                 8.7e-10
59    Ni                 6.3e-11
63    Ni                 1.5e-10
65    Ni                 1.8e-10
66    Ni                 3.0e-09
60    Cu                 7.0e-11
61    Cu                 1.2e-10
64    Cu                 1.2e-10
67    Cu                 3.4e-10
63    Zn                 7.9e-11
65    Zn                 3.9e-09
69    Zn                 3.1e-11
69    Zn_isomer          3.3e-10
71    Zn_isomer          2.4e-10
72    Zn                 1.4e-09
65    Ga                 3.7e-11
66    Ga                 1.2e-09
67    Ga                 1.9e-10
68    Ga                 1.0e-10
70    Ga                 3.1e-11
72    Ga                 1.1e-09
73    Ga                 2.6e-10
66    Ge                 1.0e-10
67    Ge                 6.5e-11
68    Ge                 1.3e-09
